meeting_attended,meeting_diff_minutes,interet_client,probabilite_ressentie,budget_confirme,decideur_present,prochaine_etape,nb_relances,is_converted
1,37,2,35,1,1,Rappel,0,0
1,25,4,60,1,1,Devis,4,1
0,999,1,21,0,0,Perdu,2,0
0,999,2,18,0,0,Perdu,2,0
1,7,2,47,0,0,Demo,0,1
1,-9,5,53,0,1,Rappel,2,0
0,999,1,32,0,0,Perdu,2,0
1,16,4,68,1,0,Demo,1,0
0,999,1,38,0,0,Rappel,2,0
1,6,5,68,1,1,Rappel,1,1
0,999,1,29,0,0,Rappel,2,0
1,-3,2,50,1,0,Perdu,1,0
1,-15,5,53,1,1,Rappel,3,1
1,1,3,47,1,1,Devis,2,0
1,7,4,38,0,1,Rappel,0,1
1,-12,3,87,0,0,Demo,1,1
1,3,4,76,0,0,Demo,1,0
1,6,4,50,1,1,Perdu,2,1
0,999,2,16,0,0,Rappel,3,0
0,999,1,29,0,0,Perdu,1,0
0,999,2,14,0,0,Perdu,6,0
1,16,3,53,1,1,Rappel,2,0
1,0,3,64,0,0,Devis,3,0
0,999,1,25,0,0,Perdu,0,0
1,21,3,69,1,0,Demo,2,1
0,999,2,0,0,0,Perdu,2,0
1,-13,4,46,0,0,Demo,0,1
0,999,2,4,0,0,Rappel,4,0
0,999,2,4,0,0,Perdu,0,0
1,-6,4,100,1,1,Rappel,3,1
1,-6,2,80,0,0,Rappel,1,1
1,3,4,55,0,0,Perdu,2,0
0,999,1,25,0,0,Perdu,2,0
0,999,1,0,0,0,Perdu,5,0
0,999,2,43,0,0,Rappel,3,0
1,0,5,41,0,1,Demo,0,1
1,7,4,35,1,0,Devis,4,0
0,999,1,15,0,0,Perdu,4,0
1,-1,3,62,1,1,Perdu,1,0
1,3,4,41,1,0,Perdu,2,1
1,46,5,45,0,1,Devis,0,1
0,999,2,25,0,0,Perdu,5,0
1,6,4,75,1,0,Perdu,3,0
1,9,4,49,0,1,Devis,2,1
0,999,1,15,0,0,Perdu,2,0
1,8,4,62,0,1,Perdu,2,1
1,24,4,93,0,1,Demo,0,1
0,999,2,9,0,0,Perdu,5,0
0,999,3,19,0,0,Rappel,4,0
0,999,1,22,0,0,Rappel,3,0
0,999,1,15,0,0,Perdu,3,0
1,15,5,61,0,0,Demo,2,1
1,8,5,14,0,1,Rappel,0,0
0,999,1,16,0,0,Perdu,2,0
0,999,1,15,0,0,Perdu,2,0
1,4,3,51,0,1,Devis,1,0
1,39,2,72,1,1,Perdu,2,0
1,10,5,70,0,1,Rappel,1,1
0,999,1,17,0,0,Perdu,4,0
0,999,3,11,0,0,Perdu,3,0
1,-15,2,53,1,0,Devis,0,1
1,26,4,46,1,1,Perdu,1,1
1,10,5,96,0,1,Devis,1,1
0,999,2,3,0,0,Perdu,2,0
1,37,2,75,1,1,Rappel,0,1
1,-4,3,61,0,1,Rappel,0,1
0,999,2,26,0,0,Rappel,2,0
1,-15,4,45,0,1,Devis,1,1
0,999,1,37,0,0,Perdu,3,0
0,999,1,27,0,0,Rappel,5,0
0,999,1,7,0,0,Rappel,0,0
1,32,4,80,0,1,Devis,3,1
1,15,3,58,1,1,Rappel,0,0
1,-2,5,71,0,0,Perdu,2,0
1,-15,4,60,1,0,Perdu,1,1
1,-7,3,59,1,1,Devis,2,1
0,999,3,35,0,0,Perdu,2,0
1,10,4,67,0,1,Demo,0,0
0,999,1,32,0,0,Perdu,5,0
1,-9,4,79,0,1,Perdu,3,1
0,999,1,29,0,0,Perdu,1,0
0,999,2,12,0,0,Rappel,3,0
1,-5,1,75,0,0,Demo,0,0
0,999,3,31,0,0,Perdu,1,0
1,-9,3,60,0,1,Perdu,1,1
1,18,2,76,1,1,Devis,1,1
1,1,3,59,0,1,Demo,0,0
1,48,4,32,1,0,Devis,4,1
1,-5,3,64,1,0,Devis,0,1
1,24,2,37,0,1,Devis,2,0
1,-11,5,54,0,1,Perdu,0,0
1,36,4,31,1,1,Demo,5,1
1,0,3,58,1,1,Devis,1,1
0,999,1,25,0,0,Rappel,4,0
1,12,4,39,1,0,Rappel,1,1
1,17,2,23,0,1,Rappel,1,1
1,-15,4,54,0,1,Rappel,3,1
0,999,1,30,0,0,Rappel,3,0
1,35,1,77,0,0,Devis,4,0
1,-9,4,42,0,1,Devis,5,1
1,-7,4,65,1,0,Demo,2,1
0,999,1,33,0,0,Perdu,1,0
1,-15,5,54,1,1,Rappel,1,1
1,-7,4,29,1,0,Perdu,2,0
1,-15,4,67,0,1,Demo,1,1
1,5,4,38,0,0,Devis,2,1
1,17,3,53,0,1,Devis,2,1
0,999,1,21,0,0,Rappel,3,0
0,999,3,37,0,0,Perdu,3,0
1,22,3,27,1,1,Devis,3,1
1,37,3,60,1,0,Perdu,3,0
1,4,3,50,1,1,Perdu,1,0
0,999,1,34,0,0,Perdu,3,0
1,11,1,48,1,1,Devis,1,1
1,-15,4,82,0,1,Devis,2,1
1,34,4,23,1,1,Demo,0,0
1,33,3,26,0,0,Devis,2,0
0,999,2,18,0,0,Perdu,5,0
1,26,4,76,0,1,Rappel,0,1
1,21,5,56,1,0,Perdu,2,0
0,999,3,27,0,0,Perdu,2,0
1,18,4,50,0,1,Demo,3,1
1,7,3,82,1,0,Rappel,0,0
1,41,3,44,1,1,Perdu,3,1
1,-4,3,64,1,1,Devis,1,1
0,999,2,0,0,0,Perdu,2,0
1,9,4,59,1,1,Perdu,1,1
1,31,1,81,0,1,Devis,3,1
0,999,2,19,0,0,Perdu,3,0
1,16,3,56,0,1,Demo,1,1
0,999,3,19,0,0,Perdu,3,0
1,32,4,65,1,1,Devis,1,1
1,18,4,87,1,0,Perdu,4,0
1,18,2,71,0,1,Devis,2,0
1,-15,4,71,1,1,Demo,1,1
1,22,3,44,1,0,Devis,2,1
1,15,5,37,0,0,Devis,1,1
1,-15,3,67,1,0,Perdu,1,0
0,999,3,19,0,0,Perdu,4,0
0,999,1,8,0,0,Perdu,2,0
1,7,3,92,1,1,Devis,1,1
1,0,4,30,1,0,Demo,2,1
0,999,2,22,0,0,Perdu,3,0
1,-12,4,49,1,1,Perdu,0,1
0,999,1,25,0,0,Perdu,4,0
0,999,3,43,0,0,Perdu,3,0
0,999,3,21,0,0,Rappel,2,0
1,5,2,82,1,0,Rappel,1,1
1,1,4,45,0,0,Demo,0,1
1,-15,5,63,1,0,Rappel,4,1
1,-9,3,68,0,0,Perdu,4,0
0,999,1,26,0,0,Rappel,2,0
1,1,2,39,0,0,Demo,1,1
0,999,2,7,0,0,Rappel,3,0
0,999,2,13,0,0,Rappel,3,0
1,-1,4,67,1,0,Devis,5,1
1,17,2,73,0,0,Devis,0,1
1,4,5,55,0,1,Demo,1,1
1,31,5,79,0,0,Rappel,3,1
1,14,5,30,0,1,Rappel,0,1
1,15,2,97,0,1,Perdu,0,0
0,999,2,6,0,0,Rappel,3,0
0,999,3,28,0,0,Perdu,6,0
1,8,4,73,1,1,Devis,1,1
0,999,1,25,0,0,Perdu,3,0
0,999,1,22,0,0,Rappel,3,0
1,1,4,48,1,1,Perdu,3,0
1,-15,2,42,1,1,Demo,0,1
1,-6,5,19,0,0,Devis,2,1
1,-11,4,57,1,0,Devis,1,1
0,999,3,41,0,0,Rappel,5,0
1,3,5,77,1,1,Rappel,1,1
0,999,1,44,0,0,Perdu,3,0
1,-15,3,63,1,1,Perdu,3,0
1,-14,2,81,0,1,Demo,0,1
0,999,1,25,0,0,Perdu,3,0
1,-13,3,44,0,1,Rappel,1,0
0,999,2,16,0,0,Perdu,2,0
1,-15,5,68,1,1,Rappel,2,1
1,-6,4,64,1,1,Rappel,3,1
1,20,5,45,1,0,Rappel,1,1
1,6,5,63,1,0,Demo,4,0
1,-14,4,75,0,1,Devis,0,1
1,24,5,48,1,1,Perdu,0,0
1,10,4,54,0,0,Demo,4,1
1,-13,4,92,0,0,Perdu,1,1
1,-7,4,62,1,1,Devis,2,1
1,0,4,72,0,0,Perdu,3,1
1,15,4,88,1,0,Rappel,0,1
1,11,5,54,0,1,Perdu,1,1
1,42,3,20,0,0,Rappel,1,0
1,-15,5,1,1,1,Perdu,2,1
0,999,2,19,0,0,Perdu,0,0
0,999,3,14,0,0,Perdu,1,0
0,999,2,19,0,0,Rappel,5,0
1,-9,4,81,1,1,Devis,0,1
1,-15,5,52,0,1,Rappel,2,1
1,18,5,97,1,0,Perdu,0,0
1,0,3,81,0,1,Perdu,2,1
1,20,1,88,1,0,Perdu,3,0
1,37,4,79,1,0,Devis,1,1
1,-15,3,87,0,1,Rappel,0,1
0,999,2,16,0,0,Rappel,3,0
0,999,1,0,0,0,Rappel,1,0
1,6,3,47,0,1,Devis,1,1
1,20,4,66,1,1,Perdu,1,1
1,18,2,42,1,1,Devis,1,1
0,999,1,7,0,0,Rappel,2,0
1,8,4,68,1,0,Perdu,1,0
1,24,4,68,0,1,Devis,2,0
1,0,5,75,0,1,Rappel,2,1
1,-2,5,66,0,0,Rappel,1,0
1,-8,5,48,0,1,Demo,2,1
0,999,1,9,0,0,Perdu,2,0
1,-11,4,82,0,1,Rappel,0,1
1,-1,4,32,1,0,Perdu,0,0
1,5,2,100,1,0,Devis,2,1
0,999,3,34,0,0,Perdu,4,0
1,-9,4,81,0,1,Devis,0,1
0,999,2,19,0,0,Perdu,2,0
1,28,5,60,0,1,Devis,1,1
1,35,3,57,1,0,Perdu,2,0
1,29,3,80,1,0,Devis,3,1
1,26,3,99,0,1,Devis,1,1
1,-12,2,59,1,1,Rappel,1,1
1,4,4,89,1,0,Rappel,0,1
1,19,1,53,1,1,Demo,2,1
1,-6,5,47,0,0,Rappel,0,1
1,14,5,38,1,1,Rappel,0,1
0,999,1,33,0,0,Perdu,2,0
1,7,4,22,1,1,Rappel,0,1
1,6,4,44,0,1,Devis,2,1
1,7,2,53,0,1,Perdu,3,0
1,14,3,69,0,1,Perdu,1,0
0,999,2,0,0,0,Perdu,2,0
1,21,4,46,0,0,Rappel,0,1
1,13,4,66,1,0,Rappel,4,1
1,16,4,32,1,0,Demo,1,1
1,-15,3,53,1,1,Devis,1,1
1,-1,4,91,0,1,Perdu,0,1
1,8,4,31,1,0,Perdu,1,1
1,3,3,64,1,1,Rappel,0,1
0,999,2,18,0,0,Perdu,0,0
1,35,3,71,1,1,Devis,0,1
1,25,5,54,1,0,Perdu,1,0
1,-15,5,23,1,0,Devis,2,1
1,14,4,52,1,1,Rappel,1,1
1,-6,4,34,1,1,Rappel,2,1
1,-15,4,57,0,1,Devis,4,1
1,-5,4,26,1,1,Devis,1,1
1,7,2,75,1,1,Perdu,0,1
0,999,2,24,0,0,Perdu,4,0
1,-11,4,36,0,1,Demo,0,1
1,6,5,79,0,1,Devis,3,1
0,999,3,10,0,0,Perdu,0,0
0,999,1,16,0,0,Perdu,4,0
1,16,3,61,0,0,Demo,2,1
1,22,4,44,0,0,Devis,1,1
0,999,3,38,0,0,Perdu,4,0
1,0,3,48,0,0,Devis,3,0
1,7,4,61,1,1,Perdu,1,0
1,29,5,73,0,1,Perdu,0,0
1,22,5,53,0,1,Devis,2,1
1,-12,5,100,0,0,Devis,3,1
1,17,5,79,1,1,Perdu,2,1
1,13,3,58,1,1,Rappel,2,0
1,5,2,77,1,1,Demo,0,1
1,-15,3,11,0,1,Devis,4,1
0,999,3,17,0,0,Perdu,1,0
1,0,2,14,1,0,Demo,0,1
0,999,1,20,0,0,Perdu,4,0
1,0,5,88,1,0,Demo,1,1
1,-6,4,71,1,0,Devis,1,1
1,9,3,31,1,1,Perdu,2,0
1,-1,3,50,0,1,Devis,1,1
1,16,3,49,0,1,Rappel,5,0
1,-15,4,67,1,1,Rappel,3,1
1,-15,1,22,1,0,Perdu,1,0
1,-15,5,84,1,0,Devis,0,1
0,999,3,36,0,0,Rappel,3,0
1,-3,2,81,1,1,Devis,3,1
0,999,1,28,0,0,Rappel,3,0
1,27,3,43,1,1,Devis,1,1
1,14,3,53,0,1,Demo,3,0
1,-3,3,43,0,0,Rappel,1,1
1,19,5,41,1,1,Perdu,1,1
0,999,3,18,0,0,Rappel,6,0
1,12,4,46,0,1,Demo,0,1
1,-8,4,39,1,1,Perdu,3,0
1,23,4,52,1,1,Perdu,1,0
1,14,4,43,0,0,Perdu,1,0
1,8,3,65,1,1,Perdu,2,0
0,999,1,7,0,0,Perdu,3,0
1,27,4,61,1,0,Demo,2,1
1,-9,4,50,0,0,Demo,3,0
1,0,4,100,1,1,Devis,1,1
1,-11,3,18,0,0,Rappel,2,0
1,37,4,65,1,0,Rappel,1,1
1,-7,5,43,1,0,Devis,1,1
1,3,5,46,1,1,Devis,2,1
1,-15,2,89,1,0,Rappel,2,1
0,999,1,32,0,0,Perdu,2,0
1,-13,1,58,0,1,Demo,0,1
1,8,4,47,0,0,Perdu,1,0
1,8,4,63,1,1,Demo,1,1
1,7,2,52,0,1,Rappel,0,1
1,6,2,59,1,0,Rappel,1,1
0,999,1,27,0,0,Rappel,6,0
0,999,2,12,0,0,Perdu,5,0
1,-10,4,41,1,1,Rappel,0,1
1,7,5,45,1,1,Demo,2,1
0,999,1,22,0,0,Perdu,8,0
0,999,1,15,0,0,Perdu,1,0
1,31,5,45,0,1,Devis,2,1
1,24,4,43,1,1,Devis,3,0
1,-1,2,38,1,1,Devis,1,1
1,-3,5,56,1,0,Perdu,2,0
1,0,4,0,1,0,Devis,1,1
1,-10,3,60,1,1,Devis,1,1
0,999,1,27,0,0,Perdu,2,0
1,16,4,79,0,1,Rappel,1,1
0,999,3,50,0,0,Rappel,5,0
1,-15,4,34,0,1,Demo,1,1
1,18,3,0,0,1,Perdu,0,0
0,999,2,11,0,0,Rappel,3,0
0,999,1,31,0,0,Perdu,4,0
1,2,3,47,1,1,Devis,0,1
0,999,1,0,0,0,Perdu,2,0
0,999,1,24,0,0,Perdu,0,0
1,29,5,82,1,1,Devis,1,1
0,999,1,6,0,0,Perdu,3,0
1,35,5,58,0,1,Demo,1,1
0,999,1,11,0,0,Perdu,5,0
1,37,5,24,1,1,Rappel,3,1
1,-15,3,56,1,1,Devis,1,1
0,999,2,25,0,0,Rappel,5,0
1,-1,3,36,0,0,Devis,0,1
0,999,2,10,0,0,Perdu,3,0
1,-7,3,49,1,0,Demo,2,1
1,23,5,39,0,1,Demo,4,0
1,-12,4,64,0,0,Rappel,0,1
1,-4,2,36,0,0,Devis,1,0
1,-15,4,51,0,0,Devis,1,1
0,999,3,23,0,0,Perdu,1,0
1,15,5,51,0,1,Devis,3,1
1,16,2,17,0,1,Devis,0,1
1,10,4,47,1,1,Devis,0,1
1,36,4,68,1,1,Devis,0,1
1,13,3,95,0,0,Perdu,0,0
0,999,1,5,0,0,Perdu,0,0
1,-11,3,69,1,0,Devis,0,1
1,37,4,46,0,1,Demo,1,1
0,999,1,10,0,0,Perdu,4,0
0,999,1,21,0,0,Perdu,2,0
1,32,2,50,1,0,Devis,0,1
1,26,4,78,1,1,Rappel,4,1
0,999,3,30,0,0,Rappel,5,0
0,999,3,26,0,0,Rappel,1,0
1,-14,4,75,1,1,Demo,0,1
1,18,4,53,0,0,Devis,1,0
0,999,2,17,0,0,Perdu,2,0
1,-3,2,81,1,0,Demo,1,1
1,1,4,57,0,1,Demo,1,1
1,1,4,45,0,1,Perdu,2,0
1,23,4,43,0,1,Rappel,0,0
0,999,3,39,0,0,Rappel,0,1
1,27,1,1,1,0,Rappel,1,0
1,30,4,51,1,0,Demo,1,1
1,-15,4,1,0,0,Rappel,2,1
0,999,1,5,0,0,Perdu,3,0
1,0,5,46,1,0,Demo,1,1
0,999,2,29,0,0,Rappel,3,0
0,999,2,32,0,0,Rappel,3,0
0,999,1,12,0,0,Perdu,1,0
0,999,1,33,0,0,Rappel,3,0
1,30,5,45,1,0,Rappel,4,0
0,999,1,29,0,0,Perdu,1,0
1,28,5,58,0,0,Perdu,0,0
1,-10,4,57,1,0,Rappel,0,0
1,14,3,58,1,0,Devis,4,1
1,44,2,98,1,0,Perdu,0,0
1,-3,4,63,1,0,Devis,1,1
0,999,1,25,0,0,Rappel,2,0
1,32,5,58,1,0,Rappel,2,0
0,999,1,0,0,0,Rappel,4,0
0,999,1,18,0,0,Rappel,2,0
1,-15,4,56,1,1,Rappel,1,1
1,33,3,49,0,1,Demo,0,0
1,13,4,70,1,1,Rappel,0,1
0,999,3,30,0,0,Perdu,4,0
1,6,3,87,1,1,Rappel,2,1
0,999,1,20,0,0,Perdu,3,0
0,999,2,50,0,0,Perdu,1,0
0,999,1,33,0,0,Rappel,2,0
1,-1,2,60,1,0,Rappel,2,1
1,-15,2,66,0,1,Perdu,2,0
0,999,3,12,0,0,Perdu,1,0
0,999,1,27,0,0,Perdu,3,0
1,-15,2,24,0,0,Devis,1,1
0,999,2,16,0,0,Rappel,4,0
0,999,2,16,0,0,Perdu,5,0
0,999,2,8,0,0,Perdu,2,0
1,3,4,53,0,0,Perdu,0,0
1,29,3,30,0,1,Rappel,2,1
0,999,1,24,0,0,Perdu,4,0
1,-1,5,37,1,0,Perdu,1,0
1,27,4,46,1,1,Rappel,2,1
0,999,1,25,0,0,Perdu,2,0
1,-15,2,71,1,0,Rappel,1,1
0,999,1,50,0,0,Rappel,2,0
1,30,2,89,1,1,Devis,4,0
0,999,1,2,0,0,Perdu,3,0
0,999,2,28,0,0,Perdu,1,0
0,999,3,24,0,0,Perdu,0,0
1,23,4,99,1,1,Devis,2,1
0,999,2,21,0,0,Perdu,2,0
1,19,5,55,0,1,Devis,1,0
0,999,2,21,0,0,Rappel,2,0
0,999,1,41,0,0,Perdu,5,0
1,24,5,100,1,1,Rappel,3,1
1,39,3,64,1,0,Devis,1,0
0,999,2,27,0,0,Perdu,3,0
1,-4,4,100,1,1,Rappel,2,1
1,35,3,52,1,0,Devis,0,1
1,7,5,59,0,1,Demo,3,0
1,19,3,70,1,1,Perdu,0,0
1,8,5,81,0,1,Devis,1,1
1,24,5,40,0,1,Devis,1,1
1,-12,2,86,0,0,Devis,1,1
0,999,2,25,0,0,Perdu,2,0
1,-3,3,77,0,0,Devis,2,1
1,0,3,86,1,0,Demo,1,1
1,1,4,81,1,1,Devis,2,1
0,999,1,11,0,0,Perdu,2,0
1,31,3,61,0,0,Rappel,2,0
1,46,5,42,1,0,Demo,2,1
0,999,3,31,0,0,Rappel,2,0
1,-11,2,35,1,1,Rappel,3,1
1,-11,3,45,1,1,Perdu,1,0
1,-15,5,71,1,0,Devis,1,1
1,6,4,63,0,0,Rappel,2,0
1,-2,5,20,0,1,Demo,1,1
0,999,1,10,0,0,Rappel,2,0
1,29,3,54,1,0,Devis,0,1
0,999,1,35,0,0,Perdu,3,0
1,-15,2,68,1,1,Perdu,2,1
1,-4,5,66,1,1,Perdu,1,1
1,-1,5,91,1,1,Rappel,1,1
0,999,3,26,0,0,Perdu,3,0
1,0,2,44,1,1,Rappel,3,1
1,-15,3,56,0,0,Demo,4,1
0,999,1,28,0,0,Perdu,1,0
1,-15,5,31,0,1,Devis,3,1
1,14,4,52,1,0,Perdu,0,0
1,11,4,58,1,0,Devis,2,1
0,999,1,13,0,0,Rappel,4,0
1,23,5,56,1,1,Perdu,1,1
1,-15,1,31,1,1,Perdu,2,0
1,-8,3,38,1,0,Demo,2,1
1,-15,4,84,0,1,Devis,1,1
1,26,4,43,1,0,Perdu,1,1
1,12,5,5,1,0,Rappel,4,0
0,999,2,13,0,0,Perdu,3,0
1,29,4,13,0,0,Demo,0,0
0,999,3,5,0,0,Rappel,2,0
0,999,2,12,0,0,Perdu,3,0
1,-3,3,43,1,0,Devis,0,1
0,999,1,19,0,0,Perdu,6,0
1,13,3,39,0,1,Rappel,1,0
0,999,1,0,0,0,Perdu,3,0
0,999,1,21,0,0,Perdu,2,0
0,999,1,30,0,0,Perdu,0,0
1,4,4,44,1,1,Rappel,3,1
1,48,1,53,0,0,Devis,0,0
1,12,5,29,1,1,Devis,4,1
1,8,4,49,0,1,Rappel,2,1
0,999,1,18,0,0,Perdu,3,0
1,24,5,65,1,0,Demo,1,1
1,-1,5,62,0,1,Perdu,2,1
1,16,4,54,0,1,Devis,1,0
1,-2,4,62,0,0,Devis,1,1
1,-3,5,23,1,0,Rappel,2,1
1,12,5,48,0,1,Devis,1,1
0,999,1,4,0,0,Rappel,2,0
0,999,3,46,0,0,Perdu,1,0
0,999,1,18,0,0,Perdu,1,0
1,3,4,77,0,1,Perdu,1,1
1,7,5,51,1,0,Perdu,2,1
1,-15,4,25,1,0,Devis,1,1
1,-15,3,53,0,0,Devis,2,1
1,-1,2,64,1,1,Rappel,3,1
1,-15,5,57,1,1,Rappel,1,1
1,-5,5,47,0,1,Perdu,1,1
1,-9,5,97,1,1,Rappel,1,1
1,-7,4,67,0,1,Rappel,1,1
0,999,2,20,0,0,Perdu,3,0
0,999,3,18,0,0,Perdu,5,0
0,999,1,36,0,0,Perdu,3,0
0,999,2,24,0,0,Rappel,1,0
1,2,3,41,0,1,Demo,1,1
0,999,2,10,0,0,Rappel,1,0
1,18,4,19,1,1,Demo,1,1
1,-15,5,50,1,1,Devis,0,1
0,999,1,16,0,0,Perdu,2,0
1,-15,4,46,1,0,Devis,1,1
1,-15,4,82,0,1,Demo,0,1
1,32,5,30,1,1,Rappel,2,1
0,999,2,3,0,0,Perdu,0,0
1,3,4,7,1,0,Rappel,1,1
0,999,1,0,0,0,Perdu,3,0
1,-15,2,50,0,1,Perdu,0,1
1,2,3,70,0,0,Perdu,1,0
1,-12,3,60,0,0,Rappel,2,0
1,5,5,27,0,0,Rappel,1,1
1,5,5,72,0,0,Rappel,2,1
1,60,5,75,0,0,Devis,4,1
0,999,1,0,0,0,Rappel,6,0
1,-15,4,42,1,0,Demo,1,0
1,23,3,33,0,0,Devis,1,1
1,27,3,53,1,1,Devis,4,1
0,999,2,31,0,0,Perdu,6,0
1,-6,1,61,1,1,Rappel,1,1
1,44,4,74,0,0,Rappel,1,1
0,999,2,5,0,0,Perdu,6,0
1,5,4,72,1,1,Demo,2,1
0,999,2,28,0,0,Perdu,4,0
1,31,4,62,0,1,Rappel,1,1
0,999,1,20,0,0,Perdu,2,0
0,999,1,20,0,0,Perdu,2,1
